"Wash.number","Average","Median","SD"
"1","W000",0.24,0.2,0.14
"2","W001",0.48,0.46,0.19
"3","W002",0.4,0.43,0.14
"4","W003",0.43,0.42,0.16
"5","W004",0.58,0.57,0.22
"6","W005",0.4,0.38,0.14
"7","W006",0.4,0.39,0.13
"8","W007",0.28,0.29,0.12
"9","W008",0.1,0.08,0.07
"10","W009",0.19,0.15,0.13
"11","W010",0.13,0.14,0.07
"12","W011",0.12,0.11,0.09
"13","W012",0.12,0.1,0.07
"14","W013",0.1,0.1,0.05
"15","W014",0.11,0.08,0.09
"16","W015",0.07,0.07,0.04
"17","W016",0.08,0.06,0.08
"18","W017",0.1,0.1,0.06
"19","W018",0.03,0.02,0.04
"20","W019",0.05,0.03,0.06
"21","W020",0.08,0.08,0.04
"22","W021",0.04,0.03,0.04
"23","W022",0.07,0.06,0.05
"24","W023",0.04,0.03,0.04
"25","W024",0.03,0.03,0.03
"26","W025",0.03,0.03,0.03
"27","W026",0.02,0.01,0.03
"28","W027",0.03,0.02,0.03
"29","W028",0.03,0.03,0.02
"30","W029",0.03,0.02,0.03
"31","W030",0.01,0.01,0.02
"32","W031",0.04,0.03,0.04
"33","W032",-0.01,0,0.02
"34","W033",0.02,0.01,0.03
"35","W034",0.01,0.01,0.04
"36","W035",0.02,0.01,0.02
"37","W036",0.03,0.01,0.05
"38","W037",0.01,0,0.02
"39","W038",0.02,0.02,0.02
"40","W039",0.02,0.01,0.02
"41","W040",0.02,0,0.04
"42","W041",0,0,0.03
"43","W042",0,0,0
"44","W043",0.01,0.01,0.02
"45","W044",0.02,0,0.06
"46","W045",0.01,0.01,0.02
"47","W046",0.02,0.01,0.02
"48","W047",0.02,0,0.02
"49","W048",0.01,0,0.02
"50","W049",0,0,0.02
"51","W050",0.01,0,0.01
"52","W051",0.01,0,0.02
