Project,Experiment,Garment,Height,Repeat,Area,Area.px,Area.mm2
MP,IT,G5,10mm,R1,16.775,1525000,121.572066326531
MP,IT,G5,10mm,R10,9.24,840000,66.9642857142857
MP,IT,G5,10mm,R2,4.684,425818.181818182,33.9459647495362
MP,IT,G5,10mm,R3,8.455,768636.363636364,61.2752203153989
MP,IT,G5,10mm,R4,7.599,690818.181818182,55.0716025046382
MP,IT,G5,10mm,R5,9.502,863818.181818182,68.8630565862709
MP,IT,G5,10mm,R6,8.179,743545.454545455,59.2749884044527
MP,IT,G5,10mm,R7,5.68,516363.636363636,41.1641929499072
MP,IT,G5,10mm,R8,11.567,1051545.45454545,83.8285598330241
MP,IT,G5,10mm,R9,7.844,713090.909090909,56.8471706864564
MP,IT,G5,15mm,R1,8.414,764909.090909091,60.9780844155844
MP,IT,G5,15mm,R10,7.095,645000,51.4190051020408
MP,IT,G5,15mm,R2,7.604,691272.727272727,55.1078385899814
MP,IT,G5,15mm,R3,6.889,626272.727272727,49.9260783858998
MP,IT,G5,15mm,R4,8.768,797090.909090909,63.543599257885
MP,IT,G5,15mm,R5,8.107,737000,58.7531887755102
MP,IT,G5,15mm,R6,8.52,774545.454545454,61.7462894248608
MP,IT,G5,15mm,R7,5.418,492545.454545455,39.2654220779221
MP,IT,G5,15mm,R8,6.077,552454.545454545,44.0413381261596
MP,IT,G5,15mm,R9,7.317,665181.818181818,53.0278872912802
MP,IT,G5,20mm,R1,7.961,723727.272727273,57.6950950834879
MP,IT,G5,20mm,R10,7.952,722909.090909091,57.6298701298701
MP,IT,G5,20mm,R2,7.452,677454.545454545,54.0062615955473
MP,IT,G5,20mm,R3,10.087,917000,73.1026785714286
MP,IT,G5,20mm,R4,10.308,937090.909090909,74.7043135435993
MP,IT,G5,20mm,R5,8.931,811909.090909091,64.7248956400742
MP,IT,G5,20mm,R6,9.431,857363.636363636,68.348504174397
MP,IT,G5,20mm,R7,4.878,443454.545454545,35.3519248608534
MP,IT,G5,20mm,R8,10.72,974545.454545455,77.6901669758813
MP,IT,G5,20mm,R9,8.008,728000,58.0357142857143
MP,IT,G5,5mm,R1,6.29,571818.181818182,45.5849953617811
MP,IT,G5,5mm,R10,7.877,716090.909090909,57.0863288497217
MP,IT,G5,5mm,R2,5.941,540090.909090909,43.0557166048237
MP,IT,G5,5mm,R3,5.648,513454.545454545,40.9322820037106
MP,IT,G5,5mm,R4,7.77,706363.636363636,56.3108766233766
MP,IT,G5,5mm,R5,7.317,665181.818181818,53.0278872912802
MP,IT,G5,5mm,R6,7.543,685727.272727273,54.6657583487941
MP,IT,G5,5mm,R7,5.942,540181.818181818,43.0629638218924
MP,IT,G5,5mm,R8,9.093,826636.363636364,65.8989448051948
MP,IT,G5,5mm,R9,9.426,856909.090909091,68.3122680890538
