Wash,garment,Before transfer area,After transfer area,value
W000,RcottonG1,0,0.289,0.289
W000,RcottonG1,0,0.112,0.112
W000,RcottonG1,0,0.289,0.289
W000,RcottonG1,0,0.585,0.585
W000,RcottonG2,0,0.384,0.384
W000,RcottonG2,0,0.232,0.232
W000,RcottonG2,0,0.561,0.561
W000,RcottonG2,0,0.418,0.418
W000,RcottonG3,0,0.012,0.012
W000,RcottonG3,0,0.365,0.365
W000,RcottonG3,0,0.421,0.421
W000,RcottonG3,0,0.232,0.232
W000,RcottonG4,0,0.147,0.147
W000,RcottonG4,0,0,0
W000,RcottonG4,0,0.196,0.196
W000,RcottonG4,0,0.123,0.123
W000,RcottonG5,0,0.214,0.214
W000,RcottonG5,0,0.156,0.156
W000,RcottonG5,0,0.353,0.353
W000,RcottonG5,0,0.046,0.046
W001,RcottonG1,0,0.054,0.054
W001,RcottonG1,0,0.141,0.141
W001,RcottonG1,0,0.329,0.329
W001,RcottonG1,0,0.067,0.067
W001,RcottonG2,0.031,0.141,0.11
W001,RcottonG2,0,0.119,0.119
W001,RcottonG2,0,0.719,0.719
W001,RcottonG2,0,0.026,0.026
W001,RcottonG3,0,0.092,0.092
W001,RcottonG3,0,0.175,0.175
W001,RcottonG3,0.013,0.225,0.212
W001,RcottonG3,0,0.342,0.342
W001,RcottonG4,0,0.112,0.112
W001,RcottonG4,0,0.328,0.328
W001,RcottonG4,0,0.281,0.281
W001,RcottonG4,0,0.135,0.135
W001,RcottonG5,0,0.064,0.064
W001,RcottonG5,0,0.25,0.25
W001,RcottonG5,0.044,0.396,0.352
W001,RcottonG5,0,0.072,0.072
W002,RcottonG1,0,0.041,0.041
W002,RcottonG1,0,0.136,0.136
W002,RcottonG1,0,0.029,0.029
W002,RcottonG1,0,0.109,0.109
W002,RcottonG2,0,0.121,0.121
W002,RcottonG2,0.026,0.145,0.119
W002,RcottonG2,0,0.287,0.287
W002,RcottonG2,0,0.025,0.025
W002,RcottonG3,0,0.099,0.099
W002,RcottonG3,0,0.07,0.07
W002,RcottonG3,0,0,0
W002,RcottonG3,0,0.028,0.028
W002,RcottonG4,0,0.084,0.084
W002,RcottonG4,0,0.031,0.031
W002,RcottonG4,0,0.025,0.025
W002,RcottonG4,0,0,0
W002,RcottonG5,0,0,0
W002,RcottonG5,0,0.033,0.033
W002,RcottonG5,0,0,0
W002,RcottonG5,0,0.024,0.024
W003,RcottonG1,0,0,0
W003,RcottonG1,0,0,0
W003,RcottonG1,0,0.018,0.018
W003,RcottonG1,0,0.017,0.017
W003,RcottonG2,0,0,0
W003,RcottonG2,0,0.032,0.032
W003,RcottonG2,0,0.145,0.145
W003,RcottonG2,0,0.074,0.074
W003,RcottonG3,0,0.066,0.066
W003,RcottonG3,0,0,0
W003,RcottonG3,0,0.077,0.077
W003,RcottonG3,0,0.042,0.042
W003,RcottonG4,0,0,0
W003,RcottonG4,0,0,0
W003,RcottonG4,0,0.022,0.022
W003,RcottonG4,0,0.047,0.047
W003,RcottonG5,0,0.018,0.018
W003,RcottonG5,0,0.032,0.032
W003,RcottonG5,0,0.034,0.034
W003,RcottonG5,0,0,0
W004,RcottonG1,0,0,0
W004,RcottonG1,0,0.026,0.026
W004,RcottonG1,0,0.028,0.028
W004,RcottonG1,0,0,0
W004,RcottonG2,0,0,0
W004,RcottonG2,0,0,0
W004,RcottonG2,0,0,0
W004,RcottonG2,0,0.024,0.024
W004,RcottonG3,0,0.057,0.057
W004,RcottonG3,0,0,0
W004,RcottonG3,0,0.023,0.023
W004,RcottonG3,0,0,0
W004,RcottonG4,0,0,0
W004,RcottonG4,0,0,0
W004,RcottonG4,0,0.025,0.025
W004,RcottonG4,0,0.015,0.015
W004,RcottonG5,0,0,0
W004,RcottonG5,0,0.041,0.041
W004,RcottonG5,0,0.017,0.017
W004,RcottonG5,0,0.027,0.027
W005,RcottonG1,0.015,0.058,0.043
W005,RcottonG1,0,0.029,0.029
W005,RcottonG1,0,0.09,0.09
W005,RcottonG1,0,0.031,0.031
W005,RcottonG2,0,0,0
W005,RcottonG2,0,0.045,0.045
W005,RcottonG2,0,0.04,0.04
W005,RcottonG2,0,0.024,0.024
W005,RcottonG3,0,0,0
W005,RcottonG3,0,0.03,0.03
W005,RcottonG3,0,0,0
W005,RcottonG3,0.028,0.031,0.003
W005,RcottonG4,0.014,0,-0.014
W005,RcottonG4,0,0,0
W005,RcottonG4,0,0,0
W005,RcottonG4,0,0,0
W005,RcottonG5,0,0,0
W005,RcottonG5,0,0.012,0.012
W005,RcottonG5,0,0,0
W005,RcottonG5,0,0,0
W010,RcottonG1,0,0.012,0.012
W010,RcottonG1,0,0.035,0.035
W010,RcottonG1,0.031,0,-0.031
W010,RcottonG1,0.014,0,-0.014
W010,RcottonG2,0.043,0,-0.043
W010,RcottonG2,0,0.019,0.019
W010,RcottonG2,0,0.012,0.012
W010,RcottonG2,0,0,0
W010,RcottonG3,0,0,0
W010,RcottonG3,0,0,0
W010,RcottonG3,0,0.024,0.024
W010,RcottonG3,0,0,0
W010,RcottonG4,0,0,0
W010,RcottonG4,0,0.023,0.023
W010,RcottonG4,0,0.046,0.046
W010,RcottonG4,0,0,0
W010,RcottonG5,0,0.022,0.022
W010,RcottonG5,0,0.017,0.017
W010,RcottonG5,0,0,0
W010,RcottonG5,0,0.016,0.016
W015,RcottonG1,0,0,0
W015,RcottonG1,0,0,0
W015,RcottonG1,0,0,0
W015,RcottonG1,0,0,0
W015,RcottonG2,0,0.022,0.022
W015,RcottonG2,0,0,0
W015,RcottonG2,0,0,0
W015,RcottonG2,0,0,0
W015,RcottonG3,0,0,0
W015,RcottonG3,0,0,0
W015,RcottonG3,0,0,0
W015,RcottonG3,0,0.029,0.029
W015,RcottonG4,0,0,0
W015,RcottonG4,0,0,0
W015,RcottonG4,0,0,0
W015,RcottonG4,0,0,0
W015,RcottonG5,0.013,0.013,0
W015,RcottonG5,0,0,0
W015,RcottonG5,0,0.034,0.034
W015,RcottonG5,0,0,0
