W000,,,,,,W001,,,,,,W003,,,,
Pairwise.Comparison,Estimate,T.Value,p.Value,Significance,,Pairwise.Comparison,Estimate,T.Value,p.Value,Significance,,Comparison,Z,P.unadj,P.adj,Significance
100g-1000g,-47.20661157,-5.427689701,0.00018,***,,100g - 1000g,-220.3726521,-8.879014654,0,***,,1000g - 100g,3.304737557,0.000950654,0.014259806,"yes,"""
2000g - 1000g,25.06386176,2.881775662,0.07784,NS,,2000g - 1000g,98.61607814,3.973331511,0.0066,**,,1000g - 2000g,-0.969868631,0.332111978,1,FALSE
2000g - 100g,72.27047333,8.309465363,0,***,,2000g - 100g,318.9887303,12.85234616,0,***,,1000g - 200g,2.227105745,0.025940207,0.38910311,FALSE
200g - 1000g,-28.3350864,-3.257892306,0.03492,*,,200g - 1000g,-180.7332832,-7.281908416,0,***,,1000g - 400g,1.831974081,0.066955282,1,FALSE
200g - 100g,18.87152517,2.169797395,0.28779,NS,,200g - 100g,39.6393689,1.597106237,0.60812,NS,,1000g - 800g,0.610658027,0.541425999,1,FALSE
200g - 2000g,-53.39894816,-6.139667968,0.00003,***,,200g - 2000g,-279.3493614,-11.25523993,0,***,,100g - 2000g,-4.274606188,1.91475431840851e-05,0.000287213,"yes,"""
400g - 1000g,-15.84673178,-1.822014756,0.47117,NS,,400g - 1000g,-82.33358377,-3.317294999,0.03048,*,,100g - 200g,-1.077631812,0.2811981,1,FALSE
400g - 100g,31.35987979,3.605674944,0.01581,*,,400g - 100g,138.0390684,5.561719655,0.00014,***,,100g - 400g,-1.472763477,0.140814824,1,FALSE
400g - 2000g,-40.91059354,-4.703790419,0.00109,**,,400g - 2000g,-180.9496619,-7.290626509,0.00001,***,,100g - 800g,-2.69407953,0.007058332,0.105874981,FALSE
400g - 200g,12.48835462,1.43587755,0.70572,NS,,400g - 200g,98.39969947,3.964613418,0.00676,**,,2000g - 200g,3.196974376,0.001388773,0.020831589,"yes,"""
800g - 1000g,-6.886551465,-0.791797234,0.96626,NS,,800g - 1000g,-58.18031555,-2.344137847,0.21576,NS,,2000g - 400g,2.801842712,0.005081164,0.07621746,FALSE
800g - 100g,40.32006011,4.635892467,0.00138,**,,800g - 100g,162.1923366,6.534876807,0.00001,***,,2000g - 800g,1.580526658,0.113986307,1,FALSE
800g - 2000g,-31.95041322,-3.673572896,0.01354,*,,800g - 2000g,-156.7963937,-6.317469358,0.00003,***,,200g - 400g,-0.395131664,0.692745721,1,FALSE
800g - 200g,21.44853494,2.466095072,0.17399,NS,,800g - 200g,122.5529677,4.937770569,0.00059,***,,200g - 800g,-1.616447718,0.105997548,1,FALSE
800g - 400g,8.960180316,1.030217522,0.90306,NS,,800g - 400g,24.15326822,0.973157152,0.92204,NS,,400g - 800g,-1.221316054,0.221966377,1,FALSE
